label,mode,stake,prob,max_odds,bets,wr,roi,final_bk,growth,drawdown,lose_str,avg_odds,score,score2
PROB s=0.03 p=0.55 mo=2.0,SIMPLE,0.03,0.55,2.0,2407,64.0,0.12,217.6,8.8,58.1,5,1.59,0.152,0.392
PROB s=0.03 p=0.55 mo=3.0,SIMPLE,0.03,0.55,3.0,2407,64.0,0.12,217.6,8.8,58.1,5,1.59,0.152,0.392
PROB s=0.03 p=0.55 mo=5.0,SIMPLE,0.03,0.55,5.0,2407,64.0,0.12,217.6,8.8,58.1,5,1.59,0.152,0.392
PROB s=0.03 p=0.55 mo=None,SIMPLE,0.03,0.55,,2407,64.0,0.12,217.6,8.8,58.1,5,1.59,0.152,0.392
PROB s=0.03 p=0.58 mo=2.0,SIMPLE,0.03,0.58,2.0,2048,64.8,-0.96,89.8,-55.1,70.4,5,1.55,-0.783,-2.169
PROB s=0.03 p=0.58 mo=3.0,SIMPLE,0.03,0.58,3.0,2048,64.8,-0.96,89.8,-55.1,70.4,5,1.55,-0.783,-2.169
PROB s=0.03 p=0.58 mo=5.0,SIMPLE,0.03,0.58,5.0,2048,64.8,-0.96,89.8,-55.1,70.4,5,1.55,-0.783,-2.169
PROB s=0.03 p=0.58 mo=None,SIMPLE,0.03,0.58,,2048,64.8,-0.96,89.8,-55.1,70.4,5,1.55,-0.783,-2.169
PROB s=0.03 p=0.6 mo=2.0,SIMPLE,0.03,0.6,2.0,1788,65.8,-1.22,75.0,-62.5,74.1,5,1.52,-0.843,-2.363
PROB s=0.03 p=0.6 mo=3.0,SIMPLE,0.03,0.6,3.0,1788,65.8,-1.22,75.0,-62.5,74.1,5,1.52,-0.843,-2.363
PROB s=0.03 p=0.6 mo=5.0,SIMPLE,0.03,0.6,5.0,1788,65.8,-1.22,75.0,-62.5,74.1,5,1.52,-0.843,-2.363
PROB s=0.03 p=0.6 mo=None,SIMPLE,0.03,0.6,,1788,65.8,-1.22,75.0,-62.5,74.1,5,1.52,-0.843,-2.363
PROB s=0.03 p=0.62 mo=2.0,SIMPLE,0.03,0.62,2.0,1514,66.8,-1.62,70.0,-65.0,71.8,5,1.49,-0.905,-3.34
PROB s=0.03 p=0.62 mo=3.0,SIMPLE,0.03,0.62,3.0,1514,66.8,-1.62,70.0,-65.0,71.8,5,1.49,-0.905,-3.34
